"城市","性别","出生年份","受教育水平","全年总收入","全年职业.劳动收入","政治面貌","住房面积","房屋产权","拥有房产数","身高","体重","户口","每周工作时间","家庭全年总收入","家庭房产数","婚姻状况","第一次结婚年份","父亲受教育程度","母亲受教育程度","结婚年龄","是否入党"
"北京市","男",1956,"大学专科（成人高等教育）","70000","0","群众",58,"是",2,160,146,"居民户口（以前是非农业户口）",0,"200000",2,"初婚有配偶",1983,"没有受过任何教育","没有受过任何教育",27,0
"北京市","女",1988,"大学本科（成人高等教育）","50000","50000","群众",20,"否",0,160,150,"非农业户口",60,"50000",1,"初婚有配偶",2014,"中专","中专",26,0
"北京市","男",1949,"小学","10000","10000","群众",10,"是",1,170,140,"农业户口",12,"10000",1,"丧偶",1977,"没有受过任何教育","没有受过任何教育",28,0
"北京市","男",1958,"普通高中","60000","60000","共产党员",64,"否",0,174,132,"非农业户口",40,"150000",1,"初婚有配偶",1985,"大学本科（成人高等教育）","中专",27,0
"北京市","女",1980,"大学本科（正规高等教育）","0","0","群众",139,"是",1,163,150,"非农业户口",0,"1000000",1,"离婚",2006,"初中","小学",26,0
"北京市","男",1980,"初中","40000","40000","共产党员",30,"否",0,168,70,"农业户口",70,"60000",0,"初婚有配偶",2001,"小学","没有受过任何教育",21,0
"北京市","男",1979,"大学专科（正规高等教育）","100000","50000","共产党员",56,"否",0,173,180,"非农业户口",20,"165000",0,"初婚有配偶",2005,"初中","没有受过任何教育",26,0
"北京市","女",1961,"普通高中","20000","20000","群众",40,"否",0,157,142,"居民户口（以前是非农业户口）",0,"50000",0,"初婚有配偶",1985,"不知道","不知道",24,0
"北京市","男",1976,"普通高中","100000","100000","群众",45,"是",3,170,144,"农业户口",100,"200000",3,"初婚有配偶",2006,"小学","没有受过任何教育",30,0
"北京市","男",1964,"普通高中","30000","30000","群众",21,"否",0,178,146,"居民户口（以前是非农业户口）",40,"80000",0,"初婚有配偶",1989,"小学","私塾、扫盲班",25,0
"北京市","男",1986,"中专","45000","0","群众",120,"否",0,171,140,"非农业户口",84,"50000",99,"初婚有配偶",2011,"小学","初中",25,0
"北京市","男",1973,"初中","拒绝回答","不知道","群众",16,"否",0,175,120,"农业户口",40,"拒绝回答",0,"初婚有配偶",1995,"没有受过任何教育","没有受过任何教育",22,0
"北京市","女",1987,"大学专科（正规高等教育）","100000","100000","共青团员",80,"是",1,158,130,"居民户口（以前是农业户口）",56,"300000",1,"初婚有配偶",2010,"普通高中","普通高中",23,0
"北京市","女",1983,"初中","拒绝回答","拒绝回答","群众",10,"否",0,160,120,"农业户口",40,"拒绝回答",0,"同居",2013,"初中","小学",30,0
"北京市","女",1969,"普通高中","40000","40000","群众",58,"是",1,158,118,"农业户口",40,"50000",1,"离婚",1993,"小学","初中",24,0
"北京市","男",1963,"初中","55000","55000","群众",45,"否",0,182,160,"农业户口",60,"70000",2,"初婚有配偶",1983,"没有受过任何教育","没有受过任何教育",20,0
"北京市","男",1955,"初中","40000","40000","群众",30,"是",1,160,145,"农业户口",90,"80000",1,"初婚有配偶",1982,"不知道","没有受过任何教育",27,0
"北京市","男",1943,"普通高中","40000","0","群众",108,"否",0,150,120,"居民户口（以前是农业户口）",0,"40000",0,"初婚有配偶",1979,"私塾、扫盲班","没有受过任何教育",36,0
"北京市","女",1973,"初中","拒绝回答","拒绝回答","群众",300,"否",0,163,150,"居民户口（以前是非农业户口）",70,"拒绝回答",2,"初婚有配偶",1996,"小学","普通高中",23,0
"北京市","女",1974,"大学本科（正规高等教育）","70000","70000","共产党员",100,"是",1,165,124,"居民户口（以前是农业户口）",42,"140000",1,"初婚有配偶",2000,"初中","没有受过任何教育",26,0
"北京市","女",1984,"研究生及以上","100000","100000","群众",40,"是",1,165,99,"非农业户口",56,"150000",1,"初婚有配偶",2012,"普通高中","大学专科（正规高等教育）",28,0
"北京市","女",1963,"初中","20000","20000","群众",50,"是",1,166,144,"农业户口",48,"50000",1,"初婚有配偶",1984,"没有受过任何教育","小学",21,0
"北京市","女",1950,"小学","27600","0","群众",91,"否",0,161,125,"农业户口",0,"174000",5,"丧偶",1950,"没有受过任何教育","没有受过任何教育",0,0
"北京市","男",1985,"大学本科（正规高等教育）","100000","100000","群众",30,"否",0,179,120,"非农业户口",60,"200000",1,"初婚有配偶",2016,"普通高中","普通高中",31,0
"北京市","男",1991,"大学本科（正规高等教育）","150000","150000","群众",60,"否",0,182,180,"居民户口（以前是非农业户口）",45,"250000",0,"同居",2013,"大学本科（正规高等教育）","大学专科（正规高等教育）",22,0
"北京市","男",1946,"初中","48000","0","群众",53,"否",0,166,168,"居民户口（以前是非农业户口）",0,"48000",0,"初婚有配偶",1976,"私塾、扫盲班","私塾、扫盲班",30,0
"北京市","女",1953,"小学","20000","0","群众",93,"否",0,162,120,"居民户口（以前是农业户口）",0,"120000",1,"离婚",1977,"私塾、扫盲班","没有受过任何教育",24,0
"北京市","男",1990,"大学专科（正规高等教育）","120000","120000","群众",50,"否",0,183,190,"非农业户口",50,"350000",3,"初婚有配偶",2012,"初中","普通高中",22,0
"北京市","女",1954,"普通高中","10000","10000","群众",87,"是",1,159,140,"农业户口",0,"20000",1,"初婚有配偶",1977,"没有受过任何教育","没有受过任何教育",23,0
"北京市","女",1987,"初中","0","0","群众",50,"否",0,165,110,"其他",0,"150000",0,"初婚有配偶",2009,"初中","小学",22,0
"北京市","女",1983,"大学本科（正规高等教育）","1000000","600000","群众",58,"是",2,160,114,"居民户口（以前是非农业户口）",48,"不知道",2,"初婚有配偶",2013,"普通高中","普通高中",30,0
"北京市","女",1951,"普通高中","10000","10000","共产党员",80,"是",1,160,100,"居民户口（以前是农业户口）",0,"100000",1,"初婚有配偶",1980,"不知道","没有受过任何教育",29,0
